common_name,site,link
Uzbekistan,openStreetMaps,https://www.openstreetmap.org/relation/196240
Egypt,googleMaps,https://goo.gl/maps/uoDRhXbsqjG6L7VG7
Egypt,openStreetMaps,https://www.openstreetmap.org/relation/1473947
United States Minor Outlying Islands,googleMaps,https://goo.gl/maps/hZKnrzgeK69dDyPF8
United States Minor Outlying Islands,openStreetMaps,https://www.openstreetmap.org/relation/6430384
Dominica,googleMaps,https://goo.gl/maps/HSKdHYpFC8oHHuyV7
Dominica,openStreetMaps,https://www.openstreetmap.org/relation/307823
Israel,googleMaps,https://goo.gl/maps/6UY1AH8XeafVwdC97
Israel,openStreetMaps,https://www.openstreetmap.org/relation/1473946
Monaco,googleMaps,https://goo.gl/maps/DGpndDot28bYdXYn7
Monaco,openStreetMaps,https://www.openstreetmap.org/relation/1124039
Republic of the Congo,googleMaps,https://goo.gl/maps/Phf5dDDKdfCtuBTb6
Republic of the Congo,openStreetMaps,https://www.openstreetmap.org/relation/192794
Ireland,googleMaps,https://goo.gl/maps/hxd1BKxgpchStzQC6
Ireland,openStreetMaps,https://www.openstreetmap.org/relation/62273
French Southern and Antarctic Lands,googleMaps,https://goo.gl/maps/6ua6CX1m4w1xF2Em7
French Southern and Antarctic Lands,openStreetMaps,https://www.openstreetmap.org/relation/2186658
Kazakhstan,googleMaps,https://goo.gl/maps/8VohJGu7ShuzZYyeA
Kazakhstan,openStreetMaps,https://www.openstreetmap.org/relation/214665
Malaysia,googleMaps,https://goo.gl/maps/qrY1PNeUXGyXDcPy6
Malaysia,openStreetMaps,https://www.openstreetmap.org/relation/2108121
United Arab Emirates,googleMaps,https://goo.gl/maps/AZZTDA6GzVAnKMVd8
United Arab Emirates,openStreetMaps,https://www.openstreetmap.org/relation/307763
Czechia,googleMaps,https://goo.gl/maps/47dmgeXMZyhDHyQW8
Czechia,openStreetMaps,https://www.openstreetmap.org/relation/51684
Yemen,googleMaps,https://goo.gl/maps/WCmE76HKcLideQQw7
Yemen,openStreetMaps,https://www.openstreetmap.org/relation/305092
Myanmar,googleMaps,https://goo.gl/maps/4jrZyJkDERUfHyp26
Myanmar,openStreetMaps,https://www.openstreetmap.org/relation/50371
Saint Kitts and Nevis,googleMaps,https://goo.gl/maps/qiaVwcLVTXX3eoTNA
Saint Kitts and Nevis,openStreetMaps,https://www.openstreetmap.org/relation/536899
United States Virgin Islands,googleMaps,https://goo.gl/maps/mBfreywj8dor6q4m9
United States Virgin Islands,openStreetMaps,openstreetmap.org/relation/286898
French Polynesia,googleMaps,https://goo.gl/maps/xgg6BQTRyeQg4e1m6
French Polynesia,openStreetMaps,https://www.openstreetmap.org/relation/3412620
Fiji,googleMaps,https://goo.gl/maps/r9fhDqoLZdg1zmE99
Fiji,openStreetMaps,https://www.openstreetmap.org/relation/571747
Albania,googleMaps,https://goo.gl/maps/BzN9cTuj68ZA8SyZ8
Albania,openStreetMaps,https://www.openstreetmap.org/relation/53292
Isle of Man,googleMaps,https://goo.gl/maps/4DqVHDgVaFgnh8ZV8
Isle of Man,openStreetMaps,https://www.openstreetmap.org/relation/62269
Australia,googleMaps,https://goo.gl/maps/DcjaDa7UbhnZTndH6
Australia,openStreetMaps,https://www.openstreetmap.org/relation/80500
Caribbean Netherlands,googleMaps,https://goo.gl/maps/4XVes1P6uEDTz77WA
Caribbean Netherlands,openStreetMaps,https://www.openstreetmap.org/relation/1216720
Italy,googleMaps,https://goo.gl/maps/8M1K27TDj7StTRTq8
Italy,openStreetMaps,https://www.openstreetmap.org/relation/365331
Afghanistan,googleMaps,https://goo.gl/maps/BXBGw7yUUFknCfva9
Afghanistan,openStreetMaps,https://www.openstreetmap.org/relation/303427
Kyrgyzstan,googleMaps,https://goo.gl/maps/SKG8BSMMQVvxkRkB7
Kyrgyzstan,openStreetMaps,https://www.openstreetmap.org/relation/178009
Wallis and Futuna,googleMaps,https://goo.gl/maps/CzVqK74QYtbHv65r5
Wallis and Futuna,openStreetMaps,https://www.openstreetmap.org/relation/3412448
United States,googleMaps,https://goo.gl/maps/e8M246zY4BSjkjAv6
United States,openStreetMaps,https://www.openstreetmap.org/relation/148838#map=2/20.6/-85.8
Martinique,googleMaps,https://goo.gl/maps/87ER7sDAFU7JjcvR6
Martinique,openStreetMaps,https://www.openstreetmap.org/relation/2473088
Philippines,googleMaps,https://goo.gl/maps/k8T2fb5VMUfsWFX6A
Philippines,openStreetMaps,https://www.openstreetmap.org/relation/443174
Serbia,googleMaps,https://goo.gl/maps/2Aqof7aV2Naq8YEK8
Serbia,openStreetMaps,https://www.openstreetmap.org/relation/1741311
"Saint Helena, Ascension and Tristan da Cunha",googleMaps,https://goo.gl/maps/iv4VxnPzHkjLCJuc6
"Saint Helena, Ascension and Tristan da Cunha",openStreetMaps,https://www.openstreetmap.org/relation/4868269#map=13/-15.9657/-5.7120
British Indian Ocean Territory,googleMaps,https://goo.gl/maps/bheNucgekVEYozoi6
British Indian Ocean Territory,openStreetMaps,https://www.openstreetmap.org/relation/1993867
Moldova,googleMaps,https://goo.gl/maps/JjmyUuULujnDeFPf7
Moldova,openStreetMaps,https://www.openstreetmap.org/relation/58974
Hong Kong,googleMaps,https://goo.gl/maps/1sEnNmT47ffrC8MU8
Hong Kong,openStreetMaps,https://www.openstreetmap.org/relation/913110
Pakistan,googleMaps,https://goo.gl/maps/5LYujdfR5yLUXoERA
Pakistan,openStreetMaps,https://www.openstreetmap.org/relation/307573
Saudi Arabia,googleMaps,https://goo.gl/maps/5PSjvdJ1AyaLFRrG9
Saudi Arabia,openStreetMaps,https://www.openstreetmap.org/relation/307584
Angola,googleMaps,https://goo.gl/maps/q42Qbf1BmQL3fuZg9
Angola,openStreetMaps,https://www.openstreetmap.org/relation/195267
New Caledonia,googleMaps,https://goo.gl/maps/cBhtCeMdob4U7FRU9
New Caledonia,openStreetMaps,https://www.openstreetmap.org/relation/3407643
Lithuania,googleMaps,https://goo.gl/maps/dd1s9rrLjrK2G8yY6
Lithuania,openStreetMaps,https://www.openstreetmap.org/relation/72596
Netherlands,googleMaps,https://goo.gl/maps/Hv6zQswGhFxoVVBm6
Netherlands,openStreetMaps,https://www.openstreetmap.org/relation/47796
Greenland,googleMaps,https://goo.gl/maps/j3289UPEQXt1ceSy8
Greenland,openStreetMaps,https://www.openstreetmap.org/relation/2184073
Vatican City,googleMaps,https://goo.gl/maps/DTKvw5Bd1QZaDZmE8
Vatican City,openStreetMaps,https://www.openstreetmap.org/relation/36989
Micronesia,googleMaps,https://goo.gl/maps/LLcnofC5LxZsJXTo8
Micronesia,openStreetMaps,https://www.openstreetmap.org/relation/571802
Heard Island and McDonald Islands,googleMaps,https://goo.gl/maps/k5FBAiVaVyozuYeA7
Heard Island and McDonald Islands,openStreetMaps,https://www.openstreetmap.org/relation/2177227
Kuwait,googleMaps,https://goo.gl/maps/aqr3aNQjS1BAvksJ7
Kuwait,openStreetMaps,https://www.openstreetmap.org/relation/305099
Switzerland,googleMaps,https://goo.gl/maps/uVuZcXaxSx5jLyEC9
Switzerland,openStreetMaps,https://www.openstreetmap.org/relation/51701
Saint Lucia,googleMaps,https://goo.gl/maps/4HhJ2jkPdSL9BPRcA
Saint Lucia,openStreetMaps,https://www.openstreetmap.org/relation/550728
Turks and Caicos Islands,googleMaps,https://goo.gl/maps/R8VUDQfwZiFtvmyn8
Turks and Caicos Islands,openStreetMaps,https://www.openstreetmap.org/relation/547479
Malta,googleMaps,https://goo.gl/maps/skXCqguxDxxEKVk47
Malta,openStreetMaps,https://www.openstreetmap.org/relation/365307
Tonga,googleMaps,https://goo.gl/maps/p5YALBY2QdEzswRo7
Tonga,openStreetMaps,https://www.openstreetmap.org/relation/2186665
Guatemala,googleMaps,https://goo.gl/maps/JoRAbem4Hxb9FYbVA
Guatemala,openStreetMaps,https://www.openstreetmap.org/relation/1521463
Uganda,googleMaps,https://goo.gl/maps/Y7812hFiGa8LD9N68
Uganda,openStreetMaps,https://www.openstreetmap.org/relation/192796
Guinea,googleMaps,https://goo.gl/maps/8J5oM5sA4Ayr1ZYGA
Guinea,openStreetMaps,https://www.openstreetmap.org/relation/192778
American Samoa,googleMaps,https://goo.gl/maps/Re9ePMjwP1sFCBFA6
American Samoa,openStreetMaps,https://www.openstreetmap.org/relation/2177187
Sint Maarten,googleMaps,https://goo.gl/maps/DjvcESy1a1oGEZuNA
Sint Maarten,openStreetMaps,https://www.openstreetmap.org/relation/1231790
Nepal,googleMaps,https://goo.gl/maps/UMj2zpbQp7B5c3yT7
Nepal,openStreetMaps,https://www.openstreetmap.org/relation/184633
Slovenia,googleMaps,https://goo.gl/maps/7zgFmswcCJh5L5D49
Slovenia,openStreetMaps,https://www.openstreetmap.org/relation/218657
British Virgin Islands,googleMaps,https://goo.gl/maps/49C9cSesNVAR9DQk8
British Virgin Islands,openStreetMaps,https://www.openstreetmap.org/relation/285454
Ethiopia,googleMaps,https://goo.gl/maps/2Q4hQWCbhuZLj3fG6
Ethiopia,openStreetMaps,https://www.openstreetmap.org/relation/192800
Kiribati,googleMaps,https://goo.gl/maps/NBfYvrndW4skAimw9
Kiribati,openStreetMaps,https://www.openstreetmap.org/relation/571178
Guam,googleMaps,https://goo.gl/maps/Xfnq2i279b18cH3C9
Guam,openStreetMaps,https://www.openstreetmap.org/relation/306001
Togo,googleMaps,https://goo.gl/maps/jzAa9feXuXPrKVb89
Togo,openStreetMaps,https://www.openstreetmap.org/relation/192782
Papua New Guinea,googleMaps,https://goo.gl/maps/ChGmzZBjZ3vnBwR2A
Papua New Guinea,openStreetMaps,https://goo.gl/maps/ChGmzZBjZ3vnBwR2A
