common_name,site,link
Western Sahara,openStreetMaps,https://www.openstreetmap.org/relation/5441968
Uruguay,googleMaps,https://goo.gl/maps/tiQ9Baekb1jQtDSD9
Uruguay,openStreetMaps,https://www.openstreetmap.org/relation/287072
Barbados,googleMaps,https://goo.gl/maps/2m36v8STvbGAWd9c7
Barbados,openStreetMaps,https://www.openstreetmap.org/relation/547511
Guernsey,googleMaps,https://goo.gl/maps/6kXnQU5QvEZMD9VB7
Guernsey,openStreetMaps,https://www.openstreetmap.org/relation/270009
Estonia,googleMaps,https://goo.gl/maps/6SsynwGUodL1sDvq8
Estonia,openStreetMaps,https://www.openstreetmap.org/relation/79510
Kenya,googleMaps,https://goo.gl/maps/Ni9M7wcCxf8bJHLX8
Kenya,openStreetMaps,https://www.openstreetmap.org/relation/192798
Jamaica,googleMaps,https://goo.gl/maps/Z8mQ6jxnRQKFwJy9A
Jamaica,openStreetMaps,https://www.openstreetmap.org/relation/555017
Luxembourg,googleMaps,https://goo.gl/maps/L6b2AgndgHprt2Ko9
Luxembourg,openStreetMaps,https://www.openstreetmap.org/relation/2171347#map=10/49.8167/6.1335
Guadeloupe,googleMaps,https://goo.gl/maps/Dy9R2EufJtoWm8UN9
Guadeloupe,openStreetMaps,https://www.openstreetmap.org/relation/7109289
Tunisia,googleMaps,https://goo.gl/maps/KgUmpZdUuNRaougs8
Tunisia,openStreetMaps,https://www.openstreetmap.org/relation/192757
Cayman Islands,googleMaps,https://goo.gl/maps/P3ZVXX3LH63t91hL8
Cayman Islands,openStreetMaps,https://www.openstreetmap.org/relation/7269765
Mozambique,googleMaps,https://goo.gl/maps/xCLcY9fzU6x4Pueu5
Mozambique,openStreetMaps,https://www.openstreetmap.org/relation/195273
Tokelau,googleMaps,https://goo.gl/maps/Ap5qN8qien6pT9UN6
Tokelau,openStreetMaps,https://www.openstreetmap.org/relation/2186600
Germany,googleMaps,https://goo.gl/maps/mD9FBMq1nvXUBrkv6
Germany,openStreetMaps,https://www.openstreetmap.org/relation/51477
Liberia,googleMaps,https://goo.gl/maps/4VsHsc2oeGeRL3wg6
Liberia,openStreetMaps,https://www.openstreetmap.org/relation/192780
Pitcairn Islands,googleMaps,https://goo.gl/maps/XGJMnMAigXjXcxSa7
Pitcairn Islands,openStreetMaps,https://www.openstreetmap.org/relation/2185375
Saint Pierre and Miquelon,googleMaps,https://goo.gl/maps/bUM8Yc8pA8ghyhmt6
Saint Pierre and Miquelon,openStreetMaps,https://www.openstreetmap.org/relation/3406826
South Sudan,googleMaps,https://goo.gl/maps/Zm1AYCXb9HSNF1P27
South Sudan,openStreetMaps,https://www.openstreetmap.org/relation/1656678
Slovakia,googleMaps,https://goo.gl/maps/uNSH2wW4bLoZVYJj7
Slovakia,openStreetMaps,https://www.openstreetmap.org/relation/14296
Palau,googleMaps,https://goo.gl/maps/MVasQBbUkQP7qQDR9
Palau,openStreetMaps,https://www.openstreetmap.org/relation/571805
Cyprus,googleMaps,https://goo.gl/maps/77hPBRdLid8yD5Bm7
Cyprus,openStreetMaps,https://www.openstreetmap.org/relation/307787
Libya,googleMaps,https://goo.gl/maps/eLgGnaQWcJEdYRMy5
Libya,openStreetMaps,openstreetmap.org/relation/192758
Mayotte,googleMaps,https://goo.gl/maps/1e7MXmfBwQv3TQGF7
Mayotte,openStreetMaps,https://www.openstreetmap.org/relation/1259885
Turkmenistan,googleMaps,https://goo.gl/maps/cgfUcaQHSWKuqeKk9
Turkmenistan,openStreetMaps,https://www.openstreetmap.org/relation/223026
Equatorial Guinea,googleMaps,https://goo.gl/maps/ucWfFd8aW1FbGMva9
Equatorial Guinea,openStreetMaps,https://www.openstreetmap.org/relation/192791
Nigeria,googleMaps,https://goo.gl/maps/LTn417qWwBPFszuV9
Nigeria,openStreetMaps,https://www.openstreetmap.org/relation/192787
Norway,googleMaps,https://goo.gl/maps/htWRrphA7vNgQNdSA
Norway,openStreetMaps,https://www.openstreetmap.org/relation/2978650
Bosnia and Herzegovina,googleMaps,https://www.google.com/maps/place/Bosnia+and+Herzegovina
Bosnia and Herzegovina,openStreetMaps,https://www.openstreetmap.org/relation/2528142
South Africa,googleMaps,https://goo.gl/maps/CLCZ1R8Uz1KpYhRv6
South Africa,openStreetMaps,https://www.openstreetmap.org/relation/87565
Denmark,googleMaps,https://goo.gl/maps/UddGPN7hAyrtpFiT6
Denmark,openStreetMaps,https://www.openstreetmap.org/relation/50046
Laos,googleMaps,https://goo.gl/maps/F3asVB7sRKgSnwbE7
Laos,openStreetMaps,https://www.openstreetmap.org/relation/49903
Madagascar,googleMaps,https://goo.gl/maps/AHQh2ABBaFW6Ngj26
Madagascar,openStreetMaps,https://www.openstreetmap.org/relation/447325
El Salvador,googleMaps,https://goo.gl/maps/cZnCEi5sEMQtKKcB7
El Salvador,openStreetMaps,https://www.openstreetmap.org/relation/1520612
Andorra,googleMaps,https://goo.gl/maps/JqAnacWE2qEznKgw7
Andorra,openStreetMaps,https://www.openstreetmap.org/relation/9407
Sri Lanka,googleMaps,https://goo.gl/maps/VkPHoeFSfgzRQCDv8
Sri Lanka,openStreetMaps,https://www.openstreetmap.org/relation/536807
Rwanda,googleMaps,https://goo.gl/maps/j5xb5r7CLqjYbyP86
Rwanda,openStreetMaps,https://www.openstreetmap.org/relation/171496
Armenia,googleMaps,https://goo.gl/maps/azWUtK9bUQYEyccbA
Armenia,openStreetMaps,https://www.openstreetmap.org/relation/364066
Chad,googleMaps,https://goo.gl/maps/ziUdAZ8skuNfx5Hx7
Chad,openStreetMaps,https://www.openstreetmap.org/relation/2361304
Benin,googleMaps,https://goo.gl/maps/uMw1BsHEXQYgVFFu6
Benin,openStreetMaps,https://www.openstreetmap.org/relation/192784
Syria,googleMaps,https://goo.gl/maps/Xe3VnFbwdb4nv2SM9
Syria,openStreetMaps,https://www.openstreetmap.org/relation/184840
Spain,googleMaps,https://goo.gl/maps/138JaXW8EZzRVitY9
Spain,openStreetMaps,https://www.openstreetmap.org/relation/1311341
Thailand,googleMaps,https://goo.gl/maps/qeU6uqsfW4nCCwzw9
Thailand,openStreetMaps,https://www.openstreetmap.org/relation/2067731
Svalbard and Jan Mayen,googleMaps,https://goo.gl/maps/L2wyyn3cQ16PzQ5J8
Svalbard and Jan Mayen,openStreetMaps,https://www.openstreetmap.org/relation/1337397
Ukraine,googleMaps,https://goo.gl/maps/DvgJMiPJ7aozKFZv7
Ukraine,openStreetMaps,https://www.openstreetmap.org/relation/60199
China,googleMaps,https://goo.gl/maps/p9qC6vgiFRRXzvGi7
China,openStreetMaps,https://www.openstreetmap.org/relation/270056
Malawi,googleMaps,https://goo.gl/maps/mc6z83pW9m98X2Ef6
Malawi,openStreetMaps,https://www.openstreetmap.org/relation/195290
Panama,googleMaps,https://goo.gl/maps/sEN7sKqeawa5oPNLA
Panama,openStreetMaps,https://www.openstreetmap.org/relation/287668
Bahrain,googleMaps,https://goo.gl/maps/5Zue99Zc6vFBHxzJ7
Bahrain,openStreetMaps,https://www.openstreetmap.org/relation/378734
Saint Vincent and the Grenadines,googleMaps,https://goo.gl/maps/wMbnMqjG37FMnrwf7
Saint Vincent and the Grenadines,openStreetMaps,https://www.openstreetmap.org/relation/550725
Jersey,googleMaps,https://goo.gl/maps/rXG8GZZtsqK92kTCA
Jersey,openStreetMaps,https://www.openstreetmap.org/relation/367988
Burkina Faso,googleMaps,https://goo.gl/maps/rKRmpcMbFher2ozb7
Burkina Faso,openStreetMaps,https://www.openstreetmap.org/relation/192783
Poland,googleMaps,https://goo.gl/maps/gY9Xw4Sf4415P4949
Poland,openStreetMaps,https://www.openstreetmap.org/relation/49715
Belgium,googleMaps,https://goo.gl/maps/UQQzat85TCtPRXAL8
Belgium,openStreetMaps,https://www.openstreetmap.org/relation/52411
Bahamas,googleMaps,https://goo.gl/maps/1YzRs1BZrG8p8pmVA
Bahamas,openStreetMaps,https://www.openstreetmap.org/relation/547469
Costa Rica,googleMaps,https://goo.gl/maps/RFiwytjvNrpfKN7k6
Costa Rica,openStreetMaps,https://www.openstreetmap.org/relation/287667
San Marino,googleMaps,https://goo.gl/maps/rxCVJjm8dVY93RPY8
San Marino,openStreetMaps,https://www.openstreetmap.org/relation/54624
New Zealand,googleMaps,https://goo.gl/maps/xXiDQo65dwdpw9iu8
New Zealand,openStreetMaps,https://www.openstreetmap.org/relation/556706#map=5/-46.710/172.046
French Guiana,googleMaps,https://goo.gl/maps/NJawFwMzG7YtCrVP7
French Guiana,openStreetMaps,https://www.openstreetmap.org/relation/2502058
Norfolk Island,googleMaps,https://goo.gl/maps/pbvtm6XYd1iZbjky5
Norfolk Island,openStreetMaps,https://www.openstreetmap.org/relation/2574988
Lebanon,googleMaps,https://goo.gl/maps/Sz5VCU8UFBqMyTdc9
Lebanon,openStreetMaps,https://www.openstreetmap.org/relation/184843
Zambia,googleMaps,https://goo.gl/maps/mweBcqvW8TppZW6q9
Zambia,openStreetMaps,https://www.openstreetmap.org/relation/195271
Eswatini,googleMaps,https://goo.gl/maps/cUY79eqQihFSE8hV6
Eswatini,openStreetMaps,https://www.openstreetmap.org/relation/88210
Palestine,googleMaps,https://goo.gl/maps/QvTbkRdmdWEoYAmt5
Palestine,openStreetMaps,https://www.openstreetmap.org/relation/1703814
